Number,Name,,Type 1,Type 2,HP,Atk,Def,SpA,SpD,Spe,Total,Ability 1,Ability 2,Ability 3,Quick Guard,Wide Guard,Follow Me,Rage Powder,Ally Switch,Aurora Veil,Thunder Wave,Nuzzle,Will-o-Wisp,Snarl,Struggle Bug,Breaking Swipe,Haze,Tailwind,Trick Room,Electroweb,Icy Wind,Bulldoze,Helping Hand,Reflect,Light Screen,Sucker Punch,Fake Out,Aqua Jet,Shadow Sneak,Vacuum Wave,Quick Attack,E-Speed,Bullet Punch,Ice Shard,Mach Punch,Accelerock,Water Shuriken,Sleep Powder,Spore,Yawn,Taunt,Points
180,Flaaffy,,Electric,,70,55,55,80,60,45,365,Static,,Plus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
181,Ampharos,,Electric,,90,75,85,115,90,55,510,Static,,Plus,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
181-m,Mega Ampharos,,Electric,Dragon,90,95,105,165,110,45,610,Mold Breaker,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
182,Bellossom,,Grass,,75,80,95,90,100,50,490,Chlorophyll,,Healer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
183,Marill,,Water,Fairy,70,20,50,20,50,40,250,Thick Fat,Huge Power,Sap Sipper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
184,Azumarill,,Water,Fairy,100,50,80,60,80,50,420,Thick Fat,Huge Power,Sap Sipper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
185,Sudowoodo,,Rock,,70,100,115,30,65,30,410,Sturdy,Rock Head,Rattled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
186,Politoed,,Water,,90,75,75,90,100,70,500,Water Absorb,Damp,Drizzle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
187,Hoppip,,Grass,Flying,35,35,40,35,55,50,250,Chlorophyll,Leaf Guard,Infiltrator,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
188,Skiploom,,Grass,Flying,55,45,50,45,65,80,340,Chlorophyll,Leaf Guard,Infiltrator,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
189,Jumpluff,,Grass,Flying,75,55,70,55,95,110,460,Chlorophyll,Leaf Guard,Infiltrator,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15
190,Aipom,,Normal,,55,70,55,40,55,85,360,Run Away,Pickup,Skill Link,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
191,Sunkern,,Grass,,30,30,30,30,30,30,180,Chlorophyll,Solar Power,Early Bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
192,Sunflora,,Grass,,75,75,55,105,85,30,425,Chlorophyll,Solar Power,Early Bird,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
193,Yanma,,Bug,Flying,65,65,45,75,45,95,390,Speed Boost,Compound Eyes,Frisk,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
194,Wooper,,Water,Ground,55,45,45,25,25,15,210,Damp,Water Absorb,Unaware,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
195,Quagsire,,Water,Ground,95,85,85,65,65,35,430,Damp,Water Absorb,Unaware,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
196,Espeon,,Psychic,,65,65,60,130,95,110,525,Synchronize,,Magic Bounce,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10
197,Umbreon,,Dark,,95,65,110,60,130,65,525,Synchronize,,Inner Focus,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,15
198,Murkrow,,Dark,Flying,60,85,42,85,42,91,405,Insomnia,Super Luck,Prankster,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40
199,Slowking,,Water,Psychic,95,75,80,100,110,30,490,Oblivious,Own Tempo,Regenerator,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25
200,Misdreavus,,Ghost,,60,60,60,85,85,85,435,Levitate,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
201,Unown,,Psychic,,48,72,48,72,48,48,336,Levitate,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
202,Wobbuffet,,Psychic,,190,33,58,33,58,33,405,Shadow Tag,,Telepathy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
203,Girafarig,,Normal,Psychic,70,80,65,90,65,85,455,Inner Focus,Early Bird,Sap Sipper,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
204,Pineco,,Bug,,50,65,90,35,35,15,290,Sturdy,,Overcoat,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
205,Forretress,,Bug,Steel,75,90,140,60,60,40,465,Sturdy,,Overcoat,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
206,Dunsparce,,Normal,,100,70,70,65,65,45,415,Serene Grace,Run Away,Rattled,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
207,Gligar,,Ground,Flying,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,Immunity,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
208,Steelix,,Ground,Steel,75,85,200,55,65,30,510,Rock Head,Sturdy,Sheer Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
208-m,Mega Steelix,,Ground,Steel,75,125,230,55,95,30,610,Sand Force,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
209,Snubbull,,Fairy,,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
210,Granbull,,Fairy,,90,120,75,60,60,45,450,Intimidate,Quick Feet,Rattled,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
211,Qwilfish,,Water,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5
212,Scizor,,Bug,Steel,70,130,100,55,80,65,500,Swarm,Technician,Light Metal,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,40
212-m,Mega Scizor,,Bug,Steel,70,150,140,65,100,75,600,Technician,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
213,Shuckle,,Bug,Rock,20,10,230,10,230,5,505,Sturdy,Gluttony,Contrary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
214,Heracross,,Bug,Fighting,80,125,75,40,95,85,500,Swarm,Guts,Moxie,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15
214-m,Mega Heracross,,Bug,Fighting,80,185,115,40,105,75,600,Skill Link,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
215,Sneasel,,Dark,Ice,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,5
216,Teddiursa,,Normal,,60,80,50,50,50,40,330,Pickup,Quick Feet,Honey Gather,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
217,Ursaring,,Normal,,90,130,75,75,75,55,500,Guts,Quick Feet,Unnerve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10
218,Slugma,,Fire,,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
219,Magcargo,,Fire,Rock,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
220,Swinub,,Ice,Ground,50,50,40,30,30,50,250,Oblivious,Snow Cloak,Thick Fat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
221,Piloswine,,Ice,Ground,100,100,80,60,60,50,450,Oblivious,Snow Cloak,Thick Fat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
222,Corsola,,Water,Rock,65,55,95,65,95,35,410,Hustle,Natural Cure,Regenerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
222-g,Corsola-Galar,,Ghost,,60,55,100,65,100,30,410,Weak Armor,,Cursed Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
223,Remoraid,,Water,,35,65,35,65,35,65,300,Hustle,Sniper,Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
224,Octillery,,Water,,75,105,75,105,75,45,480,Suction Cups,Sniper,Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
225,Delibird,,Ice,Flying,45,55,45,65,45,75,330,Vital Spirit,Hustle,Insomnia,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
226,Mantine,,Water,Flying,85,40,70,80,140,70,485,Swift Swim,Water Absorb,Water Veil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
227,Skarmory,,Steel,Flying,65,80,140,40,70,70,465,Keen Eye,Sturdy,Weak Armor,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,N/A
228,Houndour,,Dark,Fire,45,60,30,80,50,65,330,Early Bird,Flash Fire,Unnerve,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
229,Houndoom,,Dark,Fire,75,90,50,110,80,95,500,Early Bird,Flash Fire,Unnerve,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
229-m,Mega Houndoom,,Dark,Fire,75,90,90,140,90,115,600,Solar Power,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
230,Kingdra,,Water,Dragon,75,95,95,95,95,85,540,Swift Swim,Sniper,Damp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40
231,Phanpy,,Ground,,90,60,60,40,40,40,330,Pickup,,Sand Veil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
232,Donphan,,Ground,,90,120,120,60,60,50,500,Sturdy,,Sand Veil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15
233,Porygon2,,Normal,,85,80,90,105,95,60,515,Trace,Download,Analytic,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
234,Stantler,,Normal,,73,95,62,85,65,85,465,Intimidate,Frisk,Sap Sipper,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
235,Smeargle,,Normal,,55,20,35,20,45,75,250,Own Tempo,Technician,Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
236,Tyrogue,,Fighting,,35,35,35,35,35,35,210,Guts,Steadfast,Vital Spirit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,5
237,Hitmontop,,Fighting,,50,95,95,35,110,70,455,Intimidate,Technician,Steadfast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,30
238,Smoochum,,Ice,Psychic,45,30,15,85,65,65,305,Oblivious,Forewarn,Hydration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
239,Elekid,,Electric,,45,63,37,65,55,95,360,Static,,Vital Spirit,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
240,Magby,,Fire,,45,75,37,70,55,83,365,Flame Body,,Vital Spirit,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
241,Miltank,,Normal,,95,80,105,40,70,100,490,Thick Fat,Scrappy,Sap Sipper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
242,Blissey,,Normal,,255,10,10,75,135,55,540,Natural Cure,Serene Grace,Healer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
243,Raikou,,Electric,,90,85,75,115,100,115,580,Pressure,,Inner Focus,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,30
244,Entei,,Fire,,115,115,85,90,75,100,580,Pressure,,Inner Focus,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
245,Suicune,,Water,,100,75,115,90,115,85,580,Pressure,,Inner Focus,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50
246,Larvitar,,Rock,Ground,50,64,50,45,50,41,300,Guts,,Sand Veil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
247,Pupitar,,Rock,Ground,70,84,70,65,70,51,410,Shed Skin,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
248,Tyranitar,,Rock,Dark,100,134,110,95,100,61,600,Sand Stream,,Unnerve,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
248-m,Mega Tyranitar,,Rock,Dark,100,164,150,95,120,71,700,Sand Stream,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
249,Lugia,,Psychic,Flying,106,90,130,90,154,110,680,Pressure,,Multiscale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
250,Ho-Oh,,Fire,Flying,106,130,90,110,154,90,680,Pressure,,Regenerator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
251,Celebi,,Grass,Psychic,100,100,100,100,100,100,600,Natural Cure,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
252,Treecko,,Grass,,40,45,35,65,55,70,310,Overgrow,,Unburden,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
253,Grovyle,,Grass,,50,65,45,85,65,95,405,Overgrow,,Unburden,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
254,Sceptile,,Grass,,70,85,65,105,85,120,530,Overgrow,,Unburden,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
254-m,Mega Sceptile,,Grass,Dragon,70,110,75,145,85,145,630,Lightning Rod,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
255,Torchic,,Fire,,45,60,40,70,50,45,310,Blaze,,Speed Boost,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
256,Combusken,,Fire,Fighting,60,85,60,85,60,55,405,Blaze,,Speed Boost,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5
257,Blaziken,,Fire,Fighting,80,120,70,110,70,80,530,Blaze,,Speed Boost,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,15
257-m,Mega Blaziken,,Fire,Fighting,80,160,80,130,80,100,630,Speed Boost,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
258,Mudkip,,Water,,50,70,50,50,50,40,310,Torrent,,Damp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
259,Marshtomp,,Water,Ground,70,85,70,60,70,50,405,Torrent,,Damp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
260,Swampert,,Water,Ground,100,110,90,85,90,60,535,Torrent,,Damp,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
260-m,Mega Swampert,,Water,Ground,100,150,110,95,110,70,635,Swift Swim,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
261,Poochyena,,Dark,,35,55,35,30,30,35,220,Run Away,Quick Feet,Rattled,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
262,Mightyena,,Dark,,70,90,70,60,60,70,420,Intimidate,Quick Feet,Moxie,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5
263,Zigzagoon,,Normal,,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
263-g,Zigzagoon-Galar,,Dark,Normal,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
264,Linoone,,Normal,,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
264-g,Linoone-Galar,,Dark,Normal,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
265,Wurmple,,Bug,,45,45,35,20,30,20,195,Shield Dust,,Run Away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
266,Silcoon,,Bug,,50,35,55,25,25,15,205,Shed Skin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
267,Beautifly,,Bug,Flying,60,70,50,100,50,65,395,Swarm,,Rivalry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
268,Cascoon,,Bug,,50,35,55,25,25,15,205,Shed Skin,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
269,Dustox,,Bug,Poison,60,50,70,50,90,65,385,Shield Dust,,Compound Eyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
270,Lotad,,Water,Grass,40,30,30,40,50,30,220,Swift Swim,Rain Dish,Own Tempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
271,Lombre,,Water,Grass,60,50,50,60,70,50,340,Swift Swim,Rain Dish,Own Tempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
272,Ludicolo,,Water,Grass,80,70,70,90,100,70,480,Swift Swim,Rain Dish,Own Tempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
273,Seedot,,Grass,,40,40,50,30,30,30,220,Chlorophyll,Early Bird,Pickpocket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
274,Nuzleaf,,Grass,Dark,70,70,40,60,40,60,340,Chlorophyll,Early Bird,Pickpocket,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
275,Shiftry,,Grass,Dark,90,100,60,90,60,80,480,Chlorophyll,Wind Rider,Pickpocket,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,15
276,Taillow,,Normal,Flying,40,55,30,30,30,85,270,Guts,,Scrappy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
277,Swellow,,Normal,Flying,60,85,60,75,50,125,455,Guts,,Scrappy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A
278,Wingull,,Water,Flying,40,30,30,55,30,85,270,Keen Eye,Hydration,Rain Dish,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
279,Pelipper,,Water,Flying,60,50,100,95,70,65,440,Keen Eye,Drizzle,Rain Dish,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40
